kind,repeat,target,slot,active,frames,ms,hits_per_frame,bitdiff
cand,0,1,0,0,200,14.769032500,0.000,0
cand,0,1,1,1,200,14.824272500,10.000,0
cand,0,1,2,1,200,14.815366500,10.000,0
cand,0,1,3,0,200,14.822984500,0.000,0
cand,0,2,0,0,200,14.829970000,0.000,0
cand,0,2,1,1,200,14.851503000,10.000,0
cand,0,2,2,1,200,14.843521500,10.000,0
cand,0,2,3,0,200,14.861515500,0.000,0
cand,1,1,0,0,200,14.854867000,0.000,0
cand,1,1,1,1,200,14.854314500,10.000,0
cand,1,1,2,1,200,14.853378000,10.000,0
cand,1,1,3,0,200,14.863190500,0.000,0
cand,1,2,0,0,200,14.872993000,0.000,0
cand,1,2,1,1,200,14.837107000,10.000,0
cand,1,2,2,1,200,14.804970000,10.000,0
cand,1,2,3,0,200,14.811004500,0.000,0
cand,2,1,0,0,200,14.791607500,0.000,0
cand,2,1,1,1,200,14.787402000,10.000,0
cand,2,1,2,1,200,14.809750500,10.000,0
cand,2,1,3,0,200,14.815188500,0.000,0
cand,2,2,0,0,200,14.784114500,0.000,0
cand,2,2,1,1,200,14.778794500,10.000,0
cand,2,2,2,1,200,14.798366500,10.000,0
cand,2,2,3,0,200,14.814408500,0.000,0
