frame,reset,wall_ms,invalid,rgb_min,rgb_max,luma_mean,roi_luma_mean,dark_pixels,roi_dark_pixels,changed_half_values_from_first,maxabs_from_first,checked
0,1,1223.880000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
1,1,14.957000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
2,1,14.583000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
3,1,14.702000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
4,1,14.620000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
5,1,14.691000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
6,1,14.767000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
7,1,14.827000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
8,1,14.341000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
9,1,14.560000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
10,1,14.470000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
11,1,13.534000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
