frame,reset,wall_ms,invalid,rgb_min,rgb_max,luma_mean,roi_luma_mean,dark_pixels,roi_dark_pixels,changed_half_values_from_first,maxabs_from_first,checked
0,1,1210.276000,0,0,0.999511719,0.00995931205,0.0155093229,844349,275181,0,0,1
1,1,12.005000,0,0,0.999511719,0.00995931205,0.0155093229,844349,275181,0,0,1
2,1,10.182000,0,0,0.999511719,0.00995931205,0.0155093229,844349,275181,0,0,1
3,1,10.635000,0,0,0.999511719,0.00995931205,0.0155093229,844349,275181,0,0,1
4,1,10.344000,0,0,0.999511719,0.00995931205,0.0155093229,844349,275181,0,0,1
5,1,10.126000,0,0,0.999511719,0.00995931205,0.0155093229,844349,275181,0,0,1
6,1,10.400000,0,0,0.999511719,0.00995931205,0.0155093229,844349,275181,0,0,1
7,1,9.722000,0,0,0.999511719,0.00995931205,0.0155093229,844349,275181,0,0,1
8,1,9.307000,0,0,0.999511719,0.00995931205,0.0155093229,844349,275181,0,0,1
9,1,9.214000,0,0,0.999511719,0.00995931205,0.0155093229,844349,275181,0,0,1
10,1,10.145000,0,0,0.999511719,0.00995931205,0.0155093229,844349,275181,0,0,1
11,1,10.157000,0,0,0.999511719,0.00995931205,0.0155093229,844349,275181,0,0,1
