frame,reset,wall_ms,invalid,rgb_min,rgb_max,luma_mean,roi_luma_mean,dark_pixels,roi_dark_pixels,changed_half_values_from_first,maxabs_from_first,checked
0,1,1214.813000,0,0,0.00330924988,0.000417382163,0.000350873544,933120,326592,0,0,1
1,1,10.416000,0,0,0.00330924988,0.000417382163,0.000350873544,933120,326592,0,0,1
2,1,10.256000,0,0,0.00330924988,0.000417382163,0.000350873544,933120,326592,0,0,1
3,1,10.195000,0,0,0.00330924988,0.000417382163,0.000350873544,933120,326592,0,0,1
4,1,30.777000,0,0,0.00330924988,0.000417382163,0.000350873544,933120,326592,0,0,1
5,1,10.070000,0,0,0.00330924988,0.000417382163,0.000350873544,933120,326592,0,0,1
6,1,10.178000,0,0,0.00330924988,0.000417382163,0.000350873544,933120,326592,0,0,1
7,1,10.376000,0,0,0.00330924988,0.000417382163,0.000350873544,933120,326592,0,0,1
8,1,10.202000,0,0,0.00330924988,0.000417382163,0.000350873544,933120,326592,0,0,1
9,1,11.644000,0,0,0.00330924988,0.000417382163,0.000350873544,933120,326592,0,0,1
10,1,10.040000,0,0,0.00330924988,0.000417382163,0.000350873544,933120,326592,0,0,1
11,1,10.193000,0,0,0.00330924988,0.000417382163,0.000350873544,933120,326592,0,0,1
