frame,reset,wall_ms,invalid,rgb_min,rgb_max,luma_mean,roi_luma_mean,dark_pixels,roi_dark_pixels,changed_half_values_from_first,maxabs_from_first,checked
0,1,1244.470000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
1,1,25.048000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
2,1,21.042000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
3,1,21.222000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
4,1,19.853000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
5,1,19.605000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
6,1,19.958000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
7,1,19.901000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
8,1,20.944000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
9,1,21.407000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
10,1,21.212000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
11,1,19.485000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
