frame,reset,wall_ms,invalid,rgb_min,rgb_max,luma_mean,roi_luma_mean,dark_pixels,roi_dark_pixels,changed_half_values_from_first,maxabs_from_first,checked
0,1,1243.983000,0,2.68220901e-06,0.999511719,0.439202676,0.439585736,2451,843,0,0,1
1,1,20.737000,0,2.68220901e-06,0.999511719,0.439202676,0.439585736,2451,843,0,0,1
2,1,19.085000,0,2.68220901e-06,0.999511719,0.439202676,0.439585736,2451,843,0,0,1
3,1,18.901000,0,2.68220901e-06,0.999511719,0.439202676,0.439585736,2451,843,0,0,1
4,1,18.872000,0,2.68220901e-06,0.999511719,0.439202676,0.439585736,2451,843,0,0,1
5,1,18.792000,0,2.68220901e-06,0.999511719,0.439202676,0.439585736,2451,843,0,0,1
6,1,18.731000,0,2.68220901e-06,0.999511719,0.439202676,0.439585736,2451,843,0,0,1
7,1,18.668000,0,2.68220901e-06,0.999511719,0.439202676,0.439585736,2451,843,0,0,1
8,1,18.598000,0,2.68220901e-06,0.999511719,0.439202676,0.439585736,2451,843,0,0,1
9,1,18.708000,0,2.68220901e-06,0.999511719,0.439202676,0.439585736,2451,843,0,0,1
10,1,18.767000,0,2.68220901e-06,0.999511719,0.439202676,0.439585736,2451,843,0,0,1
11,1,20.612000,0,2.68220901e-06,0.999511719,0.439202676,0.439585736,2451,843,0,0,1
