frame,reset,wall_ms,invalid,rgb_min,rgb_max,luma_mean,roi_luma_mean,dark_pixels,roi_dark_pixels,changed_half_values_from_first,maxabs_from_first,checked
0,1,1238.273000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
1,1,22.308000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
2,1,18.743000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
3,1,18.721000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
4,1,18.794000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
5,1,18.780000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
6,1,18.794000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
7,1,19.450000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
8,1,20.038000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
9,1,20.094000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
10,1,20.132000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
11,1,19.351000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
