frame,reset,wall_ms,invalid,rgb_min,rgb_max,luma_mean,roi_luma_mean,dark_pixels,roi_dark_pixels,changed_half_values_from_first,maxabs_from_first,checked
0,1,1226.662000,0,0,0.00275802612,0.000201901293,0.000163125074,933120,326592,0,0,1
1,1,19.747000,0,0,0.00275802612,0.000201901293,0.000163125074,933120,326592,0,0,1
2,1,14.871000,0,0,0.00275802612,0.000201901293,0.000163125074,933120,326592,0,0,1
3,1,14.806000,0,0,0.00275802612,0.000201901293,0.000163125074,933120,326592,0,0,1
4,1,14.771000,0,0,0.00275802612,0.000201901293,0.000163125074,933120,326592,0,0,1
5,1,14.855000,0,0,0.00275802612,0.000201901293,0.000163125074,933120,326592,0,0,1
6,1,35.161000,0,0,0.00275802612,0.000201901293,0.000163125074,933120,326592,0,0,1
7,1,14.835000,0,0,0.00275802612,0.000201901293,0.000163125074,933120,326592,0,0,1
8,1,14.911000,0,0,0.00275802612,0.000201901293,0.000163125074,933120,326592,0,0,1
9,1,14.806000,0,0,0.00275802612,0.000201901293,0.000163125074,933120,326592,0,0,1
10,1,14.594000,0,0,0.00275802612,0.000201901293,0.000163125074,933120,326592,0,0,1
11,1,14.942000,0,0,0.00275802612,0.000201901293,0.000163125074,933120,326592,0,0,1
