frame,reset,wall_ms,invalid,rgb_min,rgb_max,luma_mean,roi_luma_mean,dark_pixels,roi_dark_pixels,changed_half_values_from_first,maxabs_from_first,checked
0,1,1227.359000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
1,1,16.700000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
2,1,34.790000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
3,1,15.102000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
4,1,32.963000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
5,1,15.093000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
6,1,21.224000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
7,1,13.804000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
8,1,13.566000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
9,1,15.075000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
10,1,15.280000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
11,1,15.379000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
