frame,reset,wall_ms,invalid,rgb_min,rgb_max,luma_mean,roi_luma_mean,dark_pixels,roi_dark_pixels,changed_half_values_from_first,maxabs_from_first,checked
0,1,1239.561000,0,2.68220901e-06,0.999511719,0.439202676,0.439585736,2451,843,0,0,1
1,1,29.257000,0,2.68220901e-06,0.999511719,0.439202676,0.439585736,2451,843,0,0,1
2,1,21.426000,0,2.68220901e-06,0.999511719,0.439202676,0.439585736,2451,843,0,0,1
3,1,20.761000,0,2.68220901e-06,0.999511719,0.439202676,0.439585736,2451,843,0,0,1
4,1,20.816000,0,2.68220901e-06,0.999511719,0.439202676,0.439585736,2451,843,0,0,1
5,1,20.682000,0,2.68220901e-06,0.999511719,0.439202676,0.439585736,2451,843,0,0,1
6,1,21.006000,0,2.68220901e-06,0.999511719,0.439202676,0.439585736,2451,843,0,0,1
7,1,20.703000,0,2.68220901e-06,0.999511719,0.439202676,0.439585736,2451,843,0,0,1
8,1,20.831000,0,2.68220901e-06,0.999511719,0.439202676,0.439585736,2451,843,0,0,1
9,1,20.672000,0,2.68220901e-06,0.999511719,0.439202676,0.439585736,2451,843,0,0,1
10,1,19.660000,0,2.68220901e-06,0.999511719,0.439202676,0.439585736,2451,843,0,0,1
11,1,19.440000,0,2.68220901e-06,0.999511719,0.439202676,0.439585736,2451,843,0,0,1
