frame,reset,wall_ms,invalid,rgb_min,rgb_max,luma_mean,roi_luma_mean,dark_pixels,roi_dark_pixels,changed_half_values_from_first,maxabs_from_first,checked
0,1,1231.354000,0,3.81469727e-06,0.999511719,0.442840041,0.438679408,2796,1003,0,0,1
1,1,18.054000,0,3.81469727e-06,0.999511719,0.442840041,0.438679408,2796,1003,0,0,1
2,1,9.350000,0,3.81469727e-06,0.999511719,0.442840041,0.438679408,2796,1003,0,0,1
3,1,10.245000,0,3.81469727e-06,0.999511719,0.442840041,0.438679408,2796,1003,0,0,1
4,1,10.122000,0,3.81469727e-06,0.999511719,0.442840041,0.438679408,2796,1003,0,0,1
5,1,10.245000,0,3.81469727e-06,0.999511719,0.442840041,0.438679408,2796,1003,0,0,1
6,1,10.196000,0,3.81469727e-06,0.999511719,0.442840041,0.438679408,2796,1003,0,0,1
7,1,10.041000,0,3.81469727e-06,0.999511719,0.442840041,0.438679408,2796,1003,0,0,1
8,1,10.155000,0,3.81469727e-06,0.999511719,0.442840041,0.438679408,2796,1003,0,0,1
9,1,10.108000,0,3.81469727e-06,0.999511719,0.442840041,0.438679408,2796,1003,0,0,1
10,1,10.017000,0,3.81469727e-06,0.999511719,0.442840041,0.438679408,2796,1003,0,0,1
11,1,10.209000,0,3.81469727e-06,0.999511719,0.442840041,0.438679408,2796,1003,0,0,1
