frame,reset,wall_ms,invalid,rgb_min,rgb_max,luma_mean,roi_luma_mean,dark_pixels,roi_dark_pixels,changed_half_values_from_first,maxabs_from_first,checked
0,1,1235.181000,0,3.33786011e-06,0.998046875,0.440200464,0.438869675,2629,901,0,0,1
1,1,25.603000,0,3.33786011e-06,0.998046875,0.440200464,0.438869675,2629,901,0,0,1
2,1,14.980000,0,3.33786011e-06,0.998046875,0.440200464,0.438869675,2629,901,0,0,1
3,1,14.775000,0,3.33786011e-06,0.998046875,0.440200464,0.438869675,2629,901,0,0,1
4,1,14.646000,0,3.33786011e-06,0.998046875,0.440200464,0.438869675,2629,901,0,0,1
5,1,14.865000,0,3.33786011e-06,0.998046875,0.440200464,0.438869675,2629,901,0,0,1
6,1,13.325000,0,3.33786011e-06,0.998046875,0.440200464,0.438869675,2629,901,0,0,1
7,1,13.364000,0,3.33786011e-06,0.998046875,0.440200464,0.438869675,2629,901,0,0,1
8,1,14.796000,0,3.33786011e-06,0.998046875,0.440200464,0.438869675,2629,901,0,0,1
9,1,14.774000,0,3.33786011e-06,0.998046875,0.440200464,0.438869675,2629,901,0,0,1
10,1,14.892000,0,3.33786011e-06,0.998046875,0.440200464,0.438869675,2629,901,0,0,1
11,1,15.014000,0,3.33786011e-06,0.998046875,0.440200464,0.438869675,2629,901,0,0,1
