method,round,mean_ms
0,0,0.035624375
0,1,0.035635078
0,2,0.035712187
1,0,0.037126875
1,1,0.042189531
1,2,0.039715000
2,0,0.029982266
2,1,0.029323437
2,2,0.029077969
3,0,0.047677812
3,1,0.048180078
3,2,0.048207500
4,0,0.028646484
4,1,0.027572734
4,2,0.027532109
