candidate,slot,method,mean_ms
3,0,0,0.034870400
3,1,3,0.062868300
3,2,3,0.073182000
3,3,0,0.035470500
5,0,0,0.035555400
5,1,5,0.090764100
5,2,5,0.084825500
5,3,0,0.035642500
5,0,0,0.035452500
5,1,5,0.084840700
5,2,5,0.086767100
5,3,0,0.035486800
3,0,0,0.035633600
3,1,3,0.065687600
3,2,3,0.072648400
3,3,0,0.035591400
