candidate,slot,method,mean_ms
3,0,0,0.035065200
3,1,3,0.063895400
3,2,3,0.074373800
3,3,0,0.035452600
5,0,0,0.035571700
5,1,5,0.068616600
5,2,5,0.078461200
5,3,0,0.035594700
5,0,0,0.035650000
5,1,5,0.068338300
5,2,5,0.076502400
5,3,0,0.035642600
3,0,0,0.035649500
3,1,3,0.062682000
3,2,3,0.077166800
3,3,0,0.035523800
