kind,sequence,frame,base_sha,candidate_sha,identical
1,6,5,BA79B84D18555543CE8FBE50F63EE4E291B98680230403D54796A6AEFB0BD7B6,BA79B84D18555543CE8FBE50F63EE4E291B98680230403D54796A6AEFB0BD7B6,True
1,6,6,BA79B84D18555543CE8FBE50F63EE4E291B98680230403D54796A6AEFB0BD7B6,BA79B84D18555543CE8FBE50F63EE4E291B98680230403D54796A6AEFB0BD7B6,True
1,6,7,BA79B84D18555543CE8FBE50F63EE4E291B98680230403D54796A6AEFB0BD7B6,BA79B84D18555543CE8FBE50F63EE4E291B98680230403D54796A6AEFB0BD7B6,True
1,6,8,BA79B84D18555543CE8FBE50F63EE4E291B98680230403D54796A6AEFB0BD7B6,BA79B84D18555543CE8FBE50F63EE4E291B98680230403D54796A6AEFB0BD7B6,True
1,6,9,75AABA5EF94368353F3F17C034B53918151AA2EBC98FF870B2A057D08AE910AB,75AABA5EF94368353F3F17C034B53918151AA2EBC98FF870B2A057D08AE910AB,True
1,6,10,75AABA5EF94368353F3F17C034B53918151AA2EBC98FF870B2A057D08AE910AB,75AABA5EF94368353F3F17C034B53918151AA2EBC98FF870B2A057D08AE910AB,True
1,6,11,75AABA5EF94368353F3F17C034B53918151AA2EBC98FF870B2A057D08AE910AB,75AABA5EF94368353F3F17C034B53918151AA2EBC98FF870B2A057D08AE910AB,True
2,0,0,75AABA5EF94368353F3F17C034B53918151AA2EBC98FF870B2A057D08AE910AB,75AABA5EF94368353F3F17C034B53918151AA2EBC98FF870B2A057D08AE910AB,True
2,0,1,75AABA5EF94368353F3F17C034B53918151AA2EBC98FF870B2A057D08AE910AB,75AABA5EF94368353F3F17C034B53918151AA2EBC98FF870B2A057D08AE910AB,True
2,0,2,75AABA5EF94368353F3F17C034B53918151AA2EBC98FF870B2A057D08AE910AB,75AABA5EF94368353F3F17C034B53918151AA2EBC98FF870B2A057D08AE910AB,True
2,0,3,75AABA5EF94368353F3F17C034B53918151AA2EBC98FF870B2A057D08AE910AB,75AABA5EF94368353F3F17C034B53918151AA2EBC98FF870B2A057D08AE910AB,True
2,0,4,75AABA5EF94368353F3F17C034B53918151AA2EBC98FF870B2A057D08AE910AB,75AABA5EF94368353F3F17C034B53918151AA2EBC98FF870B2A057D08AE910AB,True
2,0,5,75AABA5EF94368353F3F17C034B53918151AA2EBC98FF870B2A057D08AE910AB,75AABA5EF94368353F3F17C034B53918151AA2EBC98FF870B2A057D08AE910AB,True
2,0,6,75AABA5EF94368353F3F17C034B53918151AA2EBC98FF870B2A057D08AE910AB,75AABA5EF94368353F3F17C034B53918151AA2EBC98FF870B2A057D08AE910AB,True
2,0,7,75AABA5EF94368353F3F17C034B53918151AA2EBC98FF870B2A057D08AE910AB,75AABA5EF94368353F3F17C034B53918151AA2EBC98FF870B2A057D08AE910AB,True
2,0,8,75AABA5EF94368353F3F17C034B53918151AA2EBC98FF870B2A057D08AE910AB,75AABA5EF94368353F3F17C034B53918151AA2EBC98FF870B2A057D08AE910AB,True
