sequence,frame,anchor,method,relative_l1,absolute_l1,token_relative_p95
1,10,8,linear_extrapolate,0.22021244346381172,0.19202889502048492,0.4031735837459564
1,10,8,damped_extrapolate,0.17933847960459356,0.1563861221075058,0.3308369070291519
1,10,8,causal_bounded_fit,0.17123214543257317,0.14931726455688477,0.3019705802202225
1,10,8,two_anchor_mean,0.17036316106414146,0.14855949580669403,0.30521285235881823
1,11,8,r3_gain_hold,0.18177167959073637,0.15752071142196655,0.3541361540555954
1,11,8,linear_extrapolate,0.2616618232213415,0.2267523556947708,0.4956523388624194
1,11,8,damped_extrapolate,0.1937387186218373,0.16789117455482483,0.3664951771497728
1,11,8,causal_bounded_fit,0.17920150454370906,0.15529343485832214,0.34122789800167086
1,11,8,two_anchor_mean,0.1781059775321271,0.15434406697750092,0.3343888103961945
2,1,0,r3_gain_hold,0.15538039411874402,0.13443726301193237,0.2462463304400444
2,1,0,linear_extrapolate,0.15538039411874402,0.13443726301193237,0.2462463304400444
2,1,0,damped_extrapolate,0.15538039411874402,0.13443726301193237,0.2462463304400444
2,1,0,causal_bounded_fit,0.15538039411874402,0.13443726301193237,0.2462463304400444
2,1,0,two_anchor_mean,0.15538039411874402,0.13443726301193237,0.2462463304400444
2,2,0,r3_gain_hold,0.15678054997624255,0.1359003633260727,0.2767408967018128
2,2,0,linear_extrapolate,0.15678054997624255,0.1359003633260727,0.2767408967018128
2,2,0,damped_extrapolate,0.15678054997624255,0.1359003633260727,0.2767408967018128
2,2,0,causal_bounded_fit,0.15678054997624255,0.1359003633260727,0.2767408967018128
2,2,0,two_anchor_mean,0.15678054997624255,0.1359003633260727,0.2767408967018128
2,3,0,r3_gain_hold,0.16137411670021998,0.14021389186382294,0.27003567516803745
2,3,0,linear_extrapolate,0.16137411670021998,0.14021389186382294,0.27003567516803745
2,3,0,damped_extrapolate,0.16137411670021998,0.14021389186382294,0.27003567516803745
2,3,0,causal_bounded_fit,0.16137411670021998,0.14021389186382294,0.27003567516803745
2,3,0,two_anchor_mean,0.16137411670021998,0.14021389186382294,0.27003567516803745
2,5,4,r3_gain_hold,0.15316225337735723,0.13150496780872345,0.2523131847381593
2,5,4,linear_extrapolate,0.1704631173471364,0.14635947346687317,0.28371866643428806
2,5,4,damped_extrapolate,0.1554741573389392,0.1334899663925171,0.2585303902626038
2,5,4,causal_bounded_fit,0.15316225337735723,0.13150496780872345,0.2523131847381593
2,5,4,two_anchor_mean,0.13969262859268325,0.11993996053934097,0.23901672661304477
2,6,4,r3_gain_hold,0.1570677012174279,0.1358191967010498,0.2504712790250779
2,6,4,linear_extrapolate,0.20077440006595185,0.17361314594745636,0.3415368884801865
