candidate,slot,method,mean_ms
3,0,0,0.035011300
3,1,3,0.062787300
3,2,3,0.072658200
3,3,0,0.035601600
5,0,0,0.035797100
5,1,5,0.054487300
5,2,5,0.069192600
5,3,0,0.035433500
5,0,0,0.035622300
5,1,5,0.055312800
5,2,5,0.065418500
5,3,0,0.035513400
3,0,0,0.035646400
3,1,3,0.064451200
3,2,3,0.072436100
3,3,0,0.035618500
