candidate,slot,method,mean_ms
3,0,3,0.074184200
3,1,3,0.071689900
3,2,3,0.072795500
3,3,3,0.072109200
5,0,3,0.071126600
5,1,5,0.066719300
5,2,5,0.068059600
5,3,3,0.071716500
5,0,3,0.073568400
5,1,5,0.066286700
5,2,5,0.067043200
5,3,3,0.070711100
3,0,3,0.065064400
3,1,3,0.070396600
3,2,3,0.073849400
3,3,3,0.073111100
