method,part,mean_ms
0,1,0.001509100
0,2,0.033082900
1,1,0.003765200
1,2,0.030866800
2,1,0.006133100
2,2,0.032612500
3,1,0.004116200
3,2,0.099337200
4,1,0.004330100
4,2,0.023076600
5,1,0.004277600
5,2,0.068970400
