candidate,slot,method,mean_ms
2,0,0,0.035739844
2,1,2,0.040848125
2,2,2,0.051590547
2,3,0,0.035567656
4,0,0,0.035734609
4,1,4,0.039269766
4,2,4,0.050496328
4,3,0,0.035546406
5,0,0,0.034143594
5,1,5,0.039452187
5,2,5,0.039583203
5,3,0,0.034043594
