round,slot,sparse,ms
0,0,0,0.034279400
0,1,1,0.020572700
0,2,1,0.020319700
0,3,0,0.034598700
1,0,0,0.034680700
1,1,1,0.020339300
1,2,1,0.020331000
1,3,0,0.034832800
