round,slot,sparse,ms
0,0,0,0.034011000
0,1,1,0.121416500
0,2,1,0.122036500
0,3,0,0.034584200
1,0,0,0.034829800
1,1,1,0.121735200
1,2,1,0.121871000
1,3,0,0.034608800
