round,slot,sparse,ms
0,0,0,0.034192000
0,1,1,0.052544900
0,2,1,0.053452000
0,3,0,0.034472500
1,0,0,0.034669000
1,1,1,0.053632800
1,2,1,0.053503100
1,3,0,0.034765700
