it=-1 start 0x0 dxgi_local_MiB=12.5 private_MiB=36.1
it=0 live 1920x1152 dxgi_local_MiB=2051.7 private_MiB=204.8
it=0 after-destroy 1920x1152 dxgi_local_MiB=1923.7 private_MiB=201.1
it=1 live 1600x960 dxgi_local_MiB=2261.3 private_MiB=270.8
it=1 after-destroy 1600x960 dxgi_local_MiB=2069.3 private_MiB=267.8
it=2 live 1280x768 dxgi_local_MiB=2719.8 private_MiB=312.5
it=2 after-destroy 1280x768 dxgi_local_MiB=2527.8 private_MiB=308.9
it=3 live 1920x1152 dxgi_local_MiB=2689.8 private_MiB=312.2
it=3 after-destroy 1920x1152 dxgi_local_MiB=2474.2 private_MiB=309.8
it=4 live 1920x1152 dxgi_local_MiB=2668.2 private_MiB=312.2
it=4 after-destroy 1920x1152 dxgi_local_MiB=2536.2 private_MiB=308.7
it=5 live 1600x960 dxgi_local_MiB=2744.2 private_MiB=312.2
it=5 after-destroy 1600x960 dxgi_local_MiB=2536.1 private_MiB=309.5
it=6 live 1280x768 dxgi_local_MiB=2744.2 private_MiB=311.9
it=6 after-destroy 1280x768 dxgi_local_MiB=2536.2 private_MiB=310.1
it=7 live 1920x1152 dxgi_local_MiB=2684.5 private_MiB=311.9
it=7 after-destroy 1920x1152 dxgi_local_MiB=2532.4 private_MiB=309.8
it=8 live 1920x1152 dxgi_local_MiB=2676.5 private_MiB=312.5
it=8 after-destroy 1920x1152 dxgi_local_MiB=2510.7 private_MiB=309.7
it=9 live 1600x960 dxgi_local_MiB=2742.2 private_MiB=312.4
it=9 after-destroy 1600x960 dxgi_local_MiB=2522.1 private_MiB=309.5
it=10 live 1280x768 dxgi_local_MiB=2730.2 private_MiB=312.2
it=10 after-destroy 1280x768 dxgi_local_MiB=2526.1 private_MiB=309.5
it=11 live 1920x1152 dxgi_local_MiB=2654.1 private_MiB=312.4
it=11 after-destroy 1920x1152 dxgi_local_MiB=2526.1 private_MiB=309.6
it=12 live 1920x1152 dxgi_local_MiB=2654.1 private_MiB=311.9
it=12 after-destroy 1920x1152 dxgi_local_MiB=2526.1 private_MiB=310.4
it=13 live 1600x960 dxgi_local_MiB=2734.2 private_MiB=312.8
it=13 after-destroy 1600x960 dxgi_local_MiB=2530.1 private_MiB=309.9
it=14 live 1280x768 dxgi_local_MiB=2722.1 private_MiB=312.9
it=14 after-destroy 1280x768 dxgi_local_MiB=2530.1 private_MiB=309.7
it=15 live 1920x1152 dxgi_local_MiB=2658.1 private_MiB=312.9
it=15 after-destroy 1920x1152 dxgi_local_MiB=2530.1 private_MiB=310.3
it=16 live 1920x1152 dxgi_local_MiB=2658.1 private_MiB=313.6
it=16 after-destroy 1920x1152 dxgi_local_MiB=2530.1 private_MiB=309.7
it=17 live 1600x960 dxgi_local_MiB=2738.2 private_MiB=313.6
it=17 after-destroy 1600x960 dxgi_local_MiB=2530.2 private_MiB=310.5
it=18 live 1280x768 dxgi_local_MiB=2722.2 private_MiB=314.1
it=18 after-destroy 1280x768 dxgi_local_MiB=2530.2 private_MiB=309.9
it=19 live 1920x1152 dxgi_local_MiB=2658.2 private_MiB=313.3
it=19 after-destroy 1920x1152 dxgi_local_MiB=2530.2 private_MiB=309.6
it=20 live 1920x1152 dxgi_local_MiB=2658.2 private_MiB=313.7
it=20 after-destroy 1920x1152 dxgi_local_MiB=2530.2 private_MiB=309.7
